Sequence,Speaker,Utterance,Notes
1,Speaker 1 (Neville Sanjana),"Hey, Tegan.",
2,Speaker 1 (Neville Sanjana),Do you know what we're here to talk about today?,
3,Speaker 2 (Tegan - Child),Science.,
4,Speaker 1 (Neville Sanjana),We are here to talk about science.,
5,Speaker 1 (Neville Sanjana),We're here to talk about something called Crisper.,
6,Speaker 1 (Neville Sanjana),Have you heard of that?,
7,Speaker 2 (Tegan - Child),No.,
8,Speaker 1 (Neville Sanjana),Crisper is a tool that scientists are using to edit or change genomes.,
9,Speaker 1 (Neville Sanjana),Do you know what a genome is?,
10,Speaker 2 (Tegan - Child),No.,
11,Speaker 1 (Neville Sanjana),It's kind of like an instruction manual.,
12,Speaker 1 (Neville Sanjana),The instruction manual that makes you who you are.,
13,Speaker 1 (Neville Sanjana),Sometimes there's mistakes in the instruction manual like people get sick.,
14,Speaker 2 (Tegan - Child),Like allergies,
15,Speaker 2 (Tegan - Child),like allergies.,
16,Speaker 1 (Neville Sanjana),Do you have,
17,Speaker 1 (Neville Sanjana),do you have friends at school that have allergies?,
18,Speaker 2 (Tegan - Child),"Well, I have allergies.",
19,Speaker 2 (Tegan - Child),Penicellin and their type of medicine.,
20,Speaker 1 (Neville Sanjana),It's good that you actually know exactly what you're allergic to.,
21,Speaker 1 (Neville Sanjana),"For people that have really severe allergies, we could erase where in that",
22,Speaker 1 (Neville Sanjana),in that big instruction manual where they have those allergies,
23,Speaker 1 (Neville Sanjana),and maybe make it so that they don't have those allergies anymore.,
24,Speaker 2 (Tegan - Child),Blowing my mind.,
