Sequence,Speaker,Utterance
1,"Speaker 1 (Janna Levin)","So you're getting your PhD in physics."
2,"Speaker 5 (Will Gyory)","That's right."
3,"Speaker 5 (Will Gyory)","Theoretical high energy physics."
4,"Speaker 5 (Will Gyory)","Basically the physics of really, really small fundamental things."
5,"Speaker 1 (Janna Levin)","So what would that have to do with gravity or astrophysics?"
6,"Speaker 5 (Will Gyory)","Well, what I'm looking at is states of matter that might exist inside neutron stars."
7,"Speaker 5 (Will Gyory)","So when a star dies, if the star is massive enough, there's a huge explosion called a supernova, and the stuff that's left behind that doesn't get blown away collapses into a tiny compact blob called a neutron star."
8,"Speaker 1 (Janna Levin)","So what I love about neutron stars personally,"
9,"Speaker 1 (Janna Levin)","is that they're kind of city-sized."
10,"Speaker 5 (Will Gyory)","Right."
11,"Speaker 1 (Janna Levin)","That's right."
12,"Speaker 1 (Janna Levin)","It's about the size of a city."
13,"Speaker 1 (Janna Levin)","So you're imagining something more than the mass of the sun."
14,"Speaker 5 (Will Gyory)","Yep."
15,"Speaker 5 (Will Gyory)","Or about the mass of the sun condensed to the size of a city."
16,"Speaker 5 (Will Gyory)","It's dense enough that one teaspoonful would weigh about a billion tons here on Earth."
17,"Speaker 1 (Janna Levin)","Now, that makes the gravitational field incredibly strong, right, around the neutron star."
18,"Speaker 5 (Will Gyory)","That's right."
19,"Speaker 1 (Janna Levin)","So what would happen if we were on a neutron star?"
20,"Speaker 1 (Janna Levin)","Because of gravity?"
21,"Speaker 5 (Will Gyory)","We would, we would immediately be crushed into the ground."
22,"Speaker 5 (Will Gyory)","I think our bodies would be shred into their subatomic particles."
23,"Speaker 1 (Janna Levin)","So what's the connection between neutron stars and black holes?"
24,"Speaker 5 (Will Gyory)","So as I understand it, a black hole is sort of like a neutron star's big brother."
25,"Speaker 5 (Will Gyory)","It's more intense."
26,"Speaker 5 (Will Gyory)","If you have so much matter when a star is collapsing that it can't hold itself up, it collapses to a black hole."
27,"Speaker 5 (Will Gyory)","And those are so dense that spacetime breaks down in some way or another."
28,"Speaker 1 (Janna Levin)","Black holes are so amazing that where the neutron star stops and there's something actually there, right?"
29,"Speaker 1 (Janna Levin)","There's a material there."
30,"Speaker 1 (Janna Levin)","If it's so heavy it becomes a black hole, so it keeps falling."
31,"Speaker 1 (Janna Levin)","Once the event horizon of the black hole forms, which is the shadow, the curve that's so strong that not even light can escape, the material keeps falling."
32,"Speaker 1 (Janna Levin)","And like you said, maybe spacetime breaks down right at the center there."
33,"Speaker 1 (Janna Levin)","But whatever happens, the star is gone."
34,"Speaker 1 (Janna Levin)","That black hole is empty."
35,"Speaker 1 (Janna Levin)","It's a place and not a thing."
36,"Speaker 5 (Will Gyory)","So is there a sensible way to talk about what's inside a black hole or is that, should you think of it as there is no spacetime inside?"
37,"Speaker 1 (Janna Levin)","There isn't a sensible way to talk about it yet."
38,"Speaker 1 (Janna Levin)","And that probably means that's where Einstein's theory of gravity as a curved spacetime is beginning to break down."
39,"Speaker 1 (Janna Levin)","And we need to take the extra step of going to some kind of quantum theory of gravity."
40,"Speaker 1 (Janna Levin)","And we don't have that yet."
41,"Speaker 1 (Janna Levin)","So even though the black hole isn't completely understood, we do know that they form astronomically."
42,"Speaker 1 (Janna Levin)","That in the universe things like neutron stars form and things like black holes form."
43,"Speaker 1 (Janna Levin)","The consequences are very much speaking to this curved spacetime."
44,"Speaker 1 (Janna Levin)","So for instance, if two black holes orbit each other, they're like mallets on a drum."
45,"Speaker 1 (Janna Levin)","And they actually cause spacetime to ring."
46,"Speaker 1 (Janna Levin)","And it's very much part of gravitation, the ringing of spacetime itself."
47,"Speaker 1 (Janna Levin)","We call gravitational waves."
48,"Speaker 1 (Janna Levin)","And this was something Einstein thought about right away in 1915, 1916."
49,"Speaker 1 (Janna Levin)","He was thinking about that."
50,"Speaker 5 (Will Gyory)","Those waves are very exciting for me too."
51,"Speaker 5 (Will Gyory)","Because neutron stars orbiting each other also give off gravitational waves."
52,"Speaker 5 (Will Gyory)","And we might be able to get some data about neutron star material from that kind of signal."
53,"Speaker 1 (Janna Levin)","Yes, they ring spacetime also like a drum."
54,"Speaker 1 (Janna Levin)","And you can record the sound of that ringing after a billion years when it's traveled through the universe."
55,"Speaker 1 (Janna Levin)","But then the next thing that happens is those neutron stars collide."
56,"Speaker 1 (Janna Levin)","And because of this incredibly high energy state of matter, which you study, it becomes this firework of different explosions."
57,"Speaker 1 (Janna Levin)","It's really quite spectacular."
58,"Speaker 5 (Will Gyory)","That's right."
59,"Speaker 5 (Will Gyory)","In fact, when we recorded that for the first time with gravitational waves, we then pointed telescopes at it and were able to see it optically as well."
60,"Speaker 5 (Will Gyory)","And that gave scientists a lot of data."
61,"Speaker 1 (Janna Levin)","Yeah, it was um, to my knowledge, the most widely studied astronomical event in the history of humanity."
62,"Speaker 5 (Will Gyory)","Wow."
63,"Speaker 1 (Janna Levin)","So when the gravitational waves were recorded, and they realized, oh, this sounds like, you can reconstruct the shape and size of the mallets of the drum from the sound."
64,"Speaker 1 (Janna Levin)","This sounds like neutron stars colliding, not black holes."
65,"Speaker 1 (Janna Levin)","And so like you said, there was a trigger for satellites and experiments all over the world to point roughly in the direction that the sound was coming from."
66,"Speaker 1 (Janna Levin)","So from your point of view, I mean, they were like two superconducting giant magnets colliding."
67,"Speaker 1 (Janna Levin)","An experiment you could never do on Earth."
68,"Speaker 1 (Janna Levin)","That's just of the most tremendous scales and peculiarities of matter."
69,"Speaker 5 (Will Gyory)","Absolutely."
70,"Speaker 5 (Will Gyory)","I've heard statistics like many Earth masses worth of gold were created, forged in the neutron star collision that caused that."
71,"Speaker 5 (Will Gyory)","We used to think that most elements in the universe were created in supernova."
72,"Speaker 5 (Will Gyory)","Which is when stars explode."
73,"Speaker 5 (Will Gyory)","Because there’s so much violent activity at the center that you need that kind of energy to create new elements."
74,"Speaker 1 (Janna Levin)","The way you do in a bomb."
75,"Speaker 1 (Janna Levin)","It’s basically nuclear fusion."
76,"Speaker 5 (Will Gyory)","Sure, but we now think that that kind of fusion happens when two neutron stars collide."
77,"Speaker 5 (Will Gyory)","If you think about it you have two massive blobs of neutrons."
78,"Speaker 5 (Will Gyory)","When you smush them together, you’ve got neutrons colliding."
79,"Speaker 5 (Will Gyory)","It creates the conditions where new elements can be created."
80,"Speaker 1 (Janna Levin)","Yeah, it's amazing."
81,"Speaker 1 (Janna Levin)","It's literally populating the periodic table."
82,"Speaker 5 (Will Gyory)","Yes, we now think that most of the heavy elements after some number are created in neutron star collisions."
83,"Speaker 1 (Janna Levin)","So you are already a PhD student."
84,"Speaker 1 (Janna Levin)","You know a lot about gravity."
85,"Speaker 1 (Janna Levin)","But what do you think you've taken away from this conversation?"
86,"Speaker 5 (Will Gyory)","Well, I've definitely taken away that the way that we think about gravity today is very different from how Newton thought about it."
87,"Speaker 5 (Will Gyory)","Um, and that even though we have a very good understanding, there's lots of things that we don't fully understand."
88,"Speaker 5 (Will Gyory)","There's still a lot of questions to be answered, which I think is really exciting."
89,"Speaker 1 (Janna Levin)","So you're a scientist."
90,"Speaker 1 (Janna Levin)","Isn't the best part being able to ask the questions?"
91,"Speaker 5 (Will Gyory)","Oh yeah."
